anime_id,name,genre,type,episodes,rating,members,name-ru,src,srcset
32281,kiminonawa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,Твоё имя,https://desu.shikimori.me/uploads/poster/animes/32281/preview_alt-23f0f8065846657aebeeea36b09819e1.jpeg,https://desu.shikimori.me/uploads/poster/animes/32281/preview_alt_2x-56ac3b67c6bf99886d5bfadf395ea027.jpeg
5114,fullmetalalchemist:brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,Стальной алхимик: Братство,https://desu.shikimori.me/uploads/poster/animes/5114/preview_alt-ba65e789c26d848f95418b3f8718b525.jpeg,https://desu.shikimori.me/uploads/poster/animes/5114/preview_alt_2x-e8855f1e9deab68bcb8deca302975122.jpeg
28977,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,Гинтама 4,https://desu.shikimori.me/uploads/poster/animes/28977/preview_alt-2fff98c1ee26af4f31c76ae3d5b7a9d6.jpeg,https://desu.shikimori.me/uploads/poster/animes/28977/preview_alt_2x-40e249a5561ac2ac220387454e561a9d.jpeg
28977,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,Гинтама,https://desu.shikimori.me/uploads/poster/animes/918/preview_alt-b036d9f2e2c6967ccdf36044a1929f0b.png,https://desu.shikimori.me/uploads/poster/animes/918/preview_alt_2x-8a269d63962f08b4d3af8ec2c567b709.png
9253,steins;gate,"Sci-Fi, Thriller",TV,24,9.17,673572,,,
9969,gintama',"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,Гинтама 2,https://desu.shikimori.me/uploads/poster/animes/9969/preview_alt-51616db864aa8711969de0ee916e1260.png,https://desu.shikimori.me/uploads/poster/animes/9969/preview_alt_2x-c0517c90cd00f6cb5f419d6f815c53f9.png
32935,haikyuu!!:karasunokoukouvsshiratorizawagakuenkoukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,,,
11061,hunterxhunter(2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,Охотник х Охотник (2011),https://desu.shikimori.me/uploads/poster/animes/11061/preview_alt-6e20d146e854ef52a28f8366d021ad23.jpeg,https://desu.shikimori.me/uploads/poster/animes/11061/preview_alt_2x-d5d82f3514e49005d860b19233b58aec.jpeg
820,gingaeiyuudensetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,Легенда о героях Галактики,https://desu.shikimori.me/uploads/poster/animes/820/preview_alt-dce26e98e501c6e63d9452fdee5b3651.jpeg,https://desu.shikimori.me/uploads/poster/animes/820/preview_alt_2x-d5af51a334ab9b7ce61719f3d9eccdfe.jpeg
15335,gintamamovie:kanketsu-hen-yorozuyayoeiennare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,,,
